Outside the Law,6.5,Crime/Romance/Thriller
Rojô no reikion,6.7,Drama
A Sailor-Made Man,6.9,Comedy
Sappho,6.8,Drama
Scherben,6.4,Drama
Schloß Vogelöd,6.2,Crime/Drama/Horror
The Sheik,6.4,Adventure/Drama/Romance
The Sky Pilot,5.8,Drama
La terre,6.9,Drama
The Three Musketeers,6.9,Action/Adventure/Romance
Through the Back Door,6.8,Comedy/Drama
Tol'able David,6.8,Drama
Too Wise Wives,5.9,Drama
Vier um die Frau,6.2,Drama
Beauty's Worth,6.1,Drama/Romance
Beyond the Rocks,6.7,Drama/Romance
Blood and Sand,6.4,Drama/Romance/Sport
Der brennende Acker,6.9,Drama
The Bride's Play,6.2,Romance
Crainquebille,7.1,Drama
Der var engang,6.3,Drama/Family/Fantasy
Dr. Jack,7.1,Comedy/Romance
Down to the Sea in Ships,6.1,Adventure/Drama/Romance
La femme de nulle part,6.5,Drama
Flesh and Blood,6.2,Drama
Foolish Wives,7.0,Drama/Thriller
Die Gezeichneten,6.5,Drama
Grandma's Boy,7.0,Comedy/Family
The Headless Horseman,4.9,Comedy/Drama/Horror
Lorna Doone,6.7,Drama/Romance
The Man from Beyond,5.4,Mystery
Manslaughter,6.2,Drama
Merry-Go-Round,6.6,Drama
Monte Cristo,6.7,Drama/Romance
Moran of the Lady Letty,6.4,Adventure
Nathan der Weise,6.9,Drama/History
Nosferatu eine Symphonie des Grauens,7.9,Fantasy/Horror
Oliver Twist,6.7,Drama
Othello,6.4,Drama/Romance
Phantom,6.9,Drama/Romance
The Prisoner of Zenda,6.7,Adventure/Romance
Robin Hood,7.2,Adventure/Family/Romance
Salomé,6.6,Biography/Drama/History
Saturday Night,6.6,Comedy/Romance
Schatten - Eine nächtliche Halluzination,6.8,Drama/Fantasy/Horror
The Seventh Day,5.9,Drama/Romance
Shadows,6.3,Drama
Sherlock Holmes,5.8,Drama/Mystery
Sky High,5.8,Action/Drama/Romance
Sodom und Gomorrha,6.0,Drama
Tess of the Storm Country,6.9,Drama/Romance
The Three Must-Get-Theres,7.0,Action/Adventure/Comedy
